overlapping_exact_match_classes,SCE_classes,SCS_classes
American Crow,American Wigeon (Breeding male),Abert's Towhee
American Pipit,American Wigeon (Female/Eclipse male),Ash-throated Flycatcher
Bank Swallow,Barrow's Goldeneye (Breeding male),Bell's Vireo
Barn Swallow,Barrow's Goldeneye (Female/Eclipse male),Black Rosy-Finch
Belted Kingfisher,Black Scoter (Female/juvenile),Black-headed Grosbeak (Adult Male)
Bewick's Wren,Black Scoter (Male),Black-headed Grosbeak (Female/immature male)
Black Tern,Blue-winged Teal  (Female/juvenile),Bonaparte's Gull
Black-and-white Warbler,Blue-winged Teal  (Male),Brown-capped Rosy-Finch
Black-billed Cuckoo,Broad-winged Hawk (Adult),Brown-headed Cowbird (Female/Juvenile)
Blue Jay,Broad-winged Hawk (Immature),Brown-headed Cowbird (Male)
Blue-headed Vireo,California Quail (Female/juvenile),California Towhee
Blue-winged Warbler,California Quail (Male),Canyon Towhee
Boat-tailed Grackle,Canvasback (Breeding male),Cassin's Finch (Adult Male)
Bohemian Waxwing,Canvasback (Female/Eclipse male),Cassin's Finch (Female/immature)
Brandt's Cormorant,Cinnamon Teal (Female/juvenile),Cassin's Vireo
Brewer's Sparrow,Cinnamon Teal (Male),Clark's Grebe
Bronzed Cowbird,Common Eider (Adult male),Cordilleran Flycatcher
Brown Creeper,Common Eider (Female/juvenile),Dark-eyed Junco (Oregon)
Brown Pelican,Common Eider (Immature/Eclipse male),Dark-eyed Junco (Pink-sided)
Brown Thrasher,Common Gallinule (Adult),Dark-eyed Junco (Red-backed/Gray-headed)
Cactus Wren,Common Gallinule (Immature),Dark-eyed Junco (Slate-colored)
Canada Warbler,Common Goldeneye (Breeding male),Dark-eyed Junco (White-winged)
Cape May Warbler,Common Goldeneye (Female/Eclipse male),Double-crested Cormorant (Adult)
Carolina Wren,Cooper's Hawk (Adult),Double-crested Cormorant (Immature)
Caspian Tern,Cooper's Hawk (Immature),Gray Jay
Cedar Waxwing,Gambel's Quail (Female/juvenile),Great Black-backed Gull (Adult)
Clark's Nutcracker,Gambel's Quail (Male),Great Black-backed Gull (Immature)
Clay-colored Sparrow,Greater Scaup (Breeding male),Great Cormorant (Adult)
Cliff Swallow,Greater Scaup (Female/Eclipse male),Great Cormorant (Immature)
Common Raven,Green-winged Teal  (Female/juvenile),House Finch (Adult Male)
Common Tern,Green-winged Teal (Male),House Finch (Female/immature)
Downy Woodpecker,Lesser Scaup (Breeding male),Hutton's Vireo
Eastern Towhee,Lesser Scaup (Female/Eclipse male),Lark Bunting (Breeding male)
Field Sparrow,Northern Pintail (Breeding male),Lark Bunting (Female/Nonbreeding male)
Fish Crow,Northern Pintail (Female/Eclipse male),Laughing Gull (Breeding)
Gray Catbird,Northern Shoveler (Breeding male),Laughing Gull (Nonbreeding/Immature)
Gray-crowned Rosy-Finch,Northern Shoveler (Female/Eclipse male),Lesser Goldfinch (Adult Male)
Great Crested Flycatcher,Purple Gallinule (Adult),Lesser Goldfinch (Female/juvenile)
Green-tailed Towhee,Purple Gallinule (Immature),Mew Gull
Hooded Warbler,Red-shouldered Hawk (Adult ),Mexican Jay
Horned Lark,Red-shouldered Hawk (Immature),Neotropic Cormorant
House Wren,Redhead (Breeding male),Northern Cardinal (Adult Male)
Least Flycatcher,Redhead (Female/Eclipse male),Northern Cardinal (Female/Juvenile)
Lincoln's Sparrow,Rough-legged Hawk (Dark morph),Northwestern Crow
Loggerhead Shrike,Rough-legged Hawk (Light morph),Pacific-slope Flycatcher
Louisiana Waterthrush,Sharp-shinned Hawk (Adult ),Plumbeous Vireo
Marsh Wren,Sharp-shinned Hawk (Immature),Red-necked Grebe (Breeding)
Mourning Warbler,Surf Scoter (Female/immature),Red-necked Grebe (Nonbreeding/juvenile)
Nashville Warbler,Surf Scoter (Male),Snow Bunting (Breeding adult)
Northern Waterthrush,White-winged Scoter (Female/juvenile),Snow Bunting (Nonbreeding)
Orange-crowned Warbler,White-winged Scoter (Male),Spotted Towhee
Ovenbird,Wood Duck (Breeding male),Steller's Jay
Palm Warbler,Wood Duck (Female/Eclipse male),Western Scrub-Jay
